,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,32694901.094161935,0.0,19611729.096935257,0.02258358137454415,702800000.0,0.0
1,0.0,0.0,110032520.88764644,0.004063626133410645,400400000.0,0.0
2,0.0,0.0,19611729.096935257,0.02258358137454415,618200000.0,0.0
3,100714900.1874114,0.0,36017352.68235521,0.04149801345277306,466300000.0,0.0
4,0.0,0.0,19714713.83173465,0.0027381664512651912,619900000.0,7143.302745927136
5,100714900.1874114,0.0,29367021.15067353,0.033872639937109456,587500000.0,0.0
6,144765882.0244219,0.0,55527507.62774458,0.007691097127426148,435600000.0,4554.582194832313
7,60717312.84309486,0.0,36017352.68235521,0.04149801345277306,635500000.0,0.0
8,37255203.23710208,0.0,36017352.68235521,0.04149801345277306,504600000.0,0.0
9,0.0,0.0,19611729.096935257,0.02258358137454415,618200000.0,0.0
10,42291505.65437629,0.0,19508744.36213586,0.022349108988545037,606200000.0,0.0
11,71223146.50296113,0.0,29367021.15067353,0.033872639937109456,1012800000.0,0.0
12,0.0,0.0,196773491.64330485,0.0,964800000.0,0.0
13,240736110.61674637,0.0,10266702.208204525,0.01175890442320904,1669300000.0,0.0
14,147603451.26209262,0.0,186050905.43448988,0.0,785300000.0,0.0
15,115851949.22904456,0.0,36017352.68235521,0.04149801345277306,30700000.0,0.0
16,42291505.65437629,0.0,51823788.1044599,0.01581555094453055,497000000.0,0.0
17,251532079.62498075,0.0,13840815.352812577,0.015840888008050707,1207400000.0,0.0
18,164101945.90149587,0.0,167388993.22428545,0.0,554000000.0,837.7193294031993
19,0.0,0.0,103063441.85860127,0.04272831737458971,84600000.0,0.0
20,0.0,0.0,147009478.1101788,0.0013549055974843782,1012800000.0,1311.3770433886789
21,155725077.56163484,0.10131875085257716,186050905.43448988,0.0,408000000.0,0.0
22,176006934.67244527,0.0,88822895.23739105,8.912881203169611e-05,303800000.0,338.59013075207037
23,32694901.094161935,0.0,19714713.83173465,0.022818053760543265,791400000.0,0.0
24,96223098.04916811,0.0,49304166.33640985,0.007410624265181821,830100000.0,0.0
25,42291505.65437629,0.0,86084372.43095136,0.044215744709318584,0.0,0.0
26,160761379.97890908,0.10131875085257716,244823828.92606127,0.0,30700000.0,0.0
27,32694901.094161935,0.0,63565689.958371215,0.02943549430128506,550900000.0,0.0
28,47847947.961454235,0.0,66433059.6648344,0.015055720916362769,836000000.0,0.0
29,182429960.0293684,0.0,29367021.15067353,0.033872639937109456,538900000.0,0.0
30,37255203.23710208,0.0,71854268.01800358,0.027665342301848708,768700000.0,0.0
31,0.0,0.0,193152819.656866,0.004269328027231074,461900000.0,0.0
32,0.0,0.0,90376912.01870728,0.005127398084950765,596800000.0,4257.970932311198
33,0.0,0.0,223512939.07250154,0.0,363800000.0,0.0
34,37255203.23710208,0.0,145296533.0923118,0.0009127221504217303,61400000.0,7169.929259515495
35,47847947.961454235,0.0,199433505.39254242,0.0,394500000.0,0.0
36,66507014.9338145,0.0,68914082.29624525,0.035466753877029064,466300000.0,0.0
37,120655631.25191697,0.015383503451156367,29367021.15067353,0.033872639937109456,151900000.0,0.0
38,72222705.9376919,0.0,36017352.68235521,0.04149801345277306,550900000.0,0.0
39,37255203.23710208,0.0,68914082.29624525,0.012768031395730461,333100000.0,3312.6337568783865
40,0.0,0.0,210680621.06757158,0.0,279200000.0,0.0
41,42291505.65437629,0.0,58371774.72269629,0.02375594330453975,897500000.0,0.0
42,94979303.71425684,0.0,19611729.096935257,0.008130089294835895,741100000.0,1210.0455772156156
43,32694901.094161935,0.0,36017352.68235521,0.04149801345277306,589200000.0,0.0
44,0.0,0.0,55527507.62774458,0.06409247606188456,84600000.0,0.0
45,94979303.71425684,0.0,137893342.8435509,0.007606017920181088,146000000.0,0.0
46,177532123.52496576,0.0,38009309.64550799,0.043840012971803774,242400000.0,0.0
47,92648501.6727509,0.0,55236625.64098555,0.06343020515724603,339000000.0,0.0
48,0.0,0.0,66045103.44010488,0.0,217800000.0,0.0
49,185917461.89859483,0.05065937542628858,53391734.265083365,0.006256570229419331,30700000.0,0.0
50,42291505.65437629,0.0,36017352.68235521,0.04149801345277306,333100000.0,0.0
51,150159471.1244788,0.058351127151866765,49901027.680377245,0.0570548919325915,121200000.0,0.0
52,0.0,0.0,186811925.8088978,0.007801411575180353,248500000.0,0.0
53,179187187.16762763,0.10131875085257716,8795452.131859172,0.010073635819326293,438700000.0,0.0
54,109423197.42458755,0.06604287887744495,65002687.17524865,0.025628010336710853,0.0,0.0
55,166317822.28598702,0.10131875085257716,48502129.717741415,0.055378305736735925,0.0,0.0
56,177532123.52496576,0.0,29367021.15067353,0.004064716792453135,151900000.0,2510.529755749019
57,77099991.75787257,0.0,271579000.8944825,0.0,0.0,0.0
58,109423197.42458755,0.06604287887744495,49901027.680377245,0.0570548919325915,121200000.0,0.0
59,42291505.65437629,0.0,36017352.68235521,0.004979761614332767,333100000.0,4376.927580759599
60,0.0,0.0,84927096.15722,0.0014460588769622867,581400000.0,0.0
61,159911455.00277433,0.013081260309378642,170191358.04763,1.411945235616804e-05,30700000.0,7335.00627954485
62,53972506.18695759,0.0,68515376.13025023,0.029985095499285172,169200000.0,0.0
63,53972506.18695759,0.0,19714713.83173465,0.0034227080640814892,1055500000.0,7842.266875549276
64,76431543.68310125,0.0,29367021.15067353,0.033872639937109456,236500000.0,0.0
65,188854434.79465896,0.058351127151866765,52014818.67274299,0.059735390899310244,0.0,0.0
66,47847947.961454235,0.0,55236625.64098555,0.06343020515724603,764300000.0,0.0
67,47847947.961454235,0.0,68914082.29624525,0.035466753877029064,504600000.0,0.0
68,113429024.97505823,0.0,162273430.64039373,0.007527860458181384,569600000.0,0.0
69,0.0,0.0,63147580.65043541,0.0013549055974843782,672100000.0,797.2029710894354
70,72222705.9376919,0.0,68689463.7994421,0.02409067741669537,121200000.0,0.0
71,47847947.961454235,0.0,19611729.096935257,0.002710029764945298,656500000.0,1459.2442066958806
72,42291505.65437629,0.0,47842699.56310011,0.0,664100000.0,0.0
73,117299462.54481953,0.0,127143518.25197871,0.0006336355203220283,856400000.0,334.9143787747782
74,77099991.75787257,0.0,153413517.80618584,0.007606017920181088,61400000.0,0.0
75,32694901.094161935,0.0,253097955.05712575,0.0,363800000.0,5772.017524419378
76,68139002.95605196,0.0,13840815.352812577,0.015840888008050707,1027900000.0,0.0
77,181186165.6944571,0.0,19508744.36213586,0.022349108988545037,1382500000.0,0.0
78,42291505.65437629,0.0,105288979.56588235,0.027665342301848708,333100000.0,0.0
79,66507014.9338145,0.0,29367021.15067353,0.033872639937109456,623500000.0,0.0
80,78453877.84187987,0.0,36017352.68235521,0.0149392848429983,30700000.0,3231.5463939121046
81,37255203.23710208,0.0,120892243.43187523,0.0,115300000.0,0.0
82,88511693.9986257,0.0,19611729.096935257,0.002710029764945298,351800000.0,3107.092883892219
83,32694901.094161935,0.0,36017352.68235521,0.04149801345277306,333100000.0,0.0
84,0.0,0.0,120892243.43187523,0.0,900600000.0,0.0
85,117680843.07115024,0.0,19714713.83173465,0.022818053760543265,922300000.0,0.0
86,139204763.24930713,0.021006405774672034,200689873.4052468,0.0,151900000.0,1226.5861925244558
87,66507014.9338145,0.0,140822678.00042614,0.0,236500000.0,0.0
88,0.0,0.0,70075099.01271406,0.03698069725544184,679700000.0,0.0
89,77099991.75787257,0.0,19457251.99473615,0.022231872795545463,696900000.0,0.0
90,42291505.65437629,0.0,58217297.62049719,0.0028085081670649274,199900000.0,8419.102310354667
91,66507014.9338145,0.0,201733894.86305404,0.011290879979036486,236500000.0,0.0
92,199716683.5766434,0.0,96600306.18610811,0.001226155138760569,1420800000.0,1396.0829708196777
93,109423197.42458755,0.06604287887744495,68355053.85445751,0.017007073524720535,0.0,0.0
94,75253694.5178941,0.007691751725578184,200839363.58694053,0.0,256100000.00000003,0.0
95,71223146.50296113,0.0,70259217.72748032,0.03706716562071606,716300000.0,0.0
96,68139002.95605196,0.0,57505121.36852383,0.002688780891398598,889900000.0,4398.585039580126
97,104000676.5449382,0.0,51753320.58471611,0.015655112725002675,787400000.0,0.0
98,68139002.95605196,0.0,176289670.66427535,0.0006669376469571099,236500000.0,3853.7756540795945
99,78453877.84187987,0.0,19457251.99473615,0.022231872795545463,612300000.0,0.0
100,85246019.34861892,0.0,19714713.83173465,0.022818053760543265,279200000.0,0.0
101,42291505.65437629,0.0,83430649.7147463,0.01693396288101055,0.0,1306.2902212683714
102,42291505.65437629,0.0,51823788.1044599,0.005693598340030997,279200000.0,3551.3343255760683
103,117657018.40774402,0.0,57631706.61332462,0.011290879979036486,587500000.0,0.0
104,37255203.23710208,0.0,83421671.38564275,0.027665342301848708,248500000.0,0.0
105,85178223.26718086,0.0011537627588367278,113572207.60018256,0.0012376010104670327,273100000.0,521.3360840173466
106,53972506.18695759,0.0,36017352.68235521,0.04149801345277306,30700000.0,0.0
107,148303191.38177454,0.05065937542628858,86864223.0637057,0.03837123221201539,0.0,0.0
108,125475141.84558643,0.0,19457251.99473615,0.022231872795545463,696900000.0,0.0
109,119252509.8856793,0.0,79119589.50472838,0.015055720916362769,825700000.0,0.0
110,85178223.26718086,0.0027690306212081457,66045103.44010488,0.0,0.0,1691.0683019842827
111,47847947.961454235,0.0,173968336.69958454,0.02114340171908201,423600000.0,0.0
112,53972506.18695759,0.0,110333788.68944503,0.04272831737458971,435600000.0,0.0
113,0.0,0.0,72553245.48522905,0.015212035840362176,146000000.0,0.0
114,176006934.67244527,0.0,29367021.15067353,0.012194150377359405,369700000.0,1584.2635147440446
115,172442380.51149037,0.10131875085257716,119717058.736987,0.0063742323323873985,30700000.0,0.0
116,154372360.49308634,0.0,10266702.208204525,0.01175890442320904,721500000.0,0.0
117,42291505.65437629,0.0,119000776.2621646,0.002681770057813722,357700000.0,1563.6598930881482
118,0.0,0.0,82006672.87217098,0.00608701471257232,84600000.0,5026.44801018064
119,0.0,0.0,121701716.67461371,0.0,747000000.0,942.3015012766626
120,53972506.18695759,0.0,36017352.68235521,0.004979761614332767,853300000.0,3049.9083169526402
121,0.0,0.0,256398290.41627502,0.0,84600000.0,0.0
